Subject,Trail,Condition,Exemplar,Total Distance,Max Abs Dev,Avg Abs Dev,AUC
1,2,Typical,Loewe,1063.0022709027537,85.08215258818974,6.032170747392551,46526.99999999999
1,3,Typical,Kaninchen,1032.679590002766,65.41896202883714,14.552720358723336,16242.498061573524
1,4,Atypical,Seeloewe,1153.4637180633724,99.1837292503676,18.172339724980702,54516.01033185936
1,5,Typical,Alligator,1049.8050788407745,64.34041423598899,20.684093674869747,32053.50000000003
1,6,Atypical,Pinguin,1961.6948496915627,623.5502198457594,92.45612790801549,228192.85179608833
1,7,Typical,Katze,1587.1767098842397,598.1993172165196,90.85542845602424,315863.5
1,8,Typical,Spatz,2118.279379846275,880.764099830054,165.5164078984696,550035.8298331612
1,9,Typical,Chamaeleon,1266.8823383266192,210.78883433263587,28.362876566591062,153632.73398656712
1,10,Typical,Pferd,1150.667091407417,76.83270497619924,17.545582095409987,51609.00000000004
1,11,Atypical,Schmetterling,1028.2022441425927,71.33384077197661,17.955510300925624,48131.49999999997
1,12,Typical,Hai,1106.0105576284682,97.7269446847738,4.659696000021042,70573.28558673292
1,14,Typical,Falke,1283.1525681896012,154.12214031870974,19.15213224884155,97678.86490040577
1,15,Atypical,Wal,1026.1785445259736,84.53080573522794,8.01934749767732,44149.37953967272
1,16,Atypical,Fledermaus,1038.9742162439995,162.9086650233923,8.22970083862617,85775.57653171025
1,17,Typical,Lachs,1447.8829740101694,276.24546599644236,33.708563940477234,207243.49999999988
1,18,Typical,Goldfisch,1246.2585474258083,237.49066486724251,31.65555921345017,162504.84385643253
1,19,Typical,Hund,1058.2585596767844,66.78884134950374,12.276680725932854,33117.90722262551
2,1,Typical,Katze,1032.1093742098228,96.02861723342767,17.157382528825035,50450.337386524305
2,2,Atypical,Pinguin,1032.5042769573972,31.907563739436398,3.2840092507321534,15579.597213976074
2,3,Atypical,Schmetterling,2388.8330653598377,984.8910299983145,180.51305981854304,463585.01150422683
2,4,Typical,Spatz,986.8080246732065,37.89734529160131,7.24944820391173,22885.572398296154
2,5,Typical,Falke,1848.506009193164,664.9159301368002,92.3710911850653,281493.6520749462
2,6,Atypical,Aal,1173.876251606573,38.07690374381443,2.49622725118271,21351.046747336815
2,7,Typical,Hund,1215.7646620424537,17.66323055511137,2.1540121100308203,9951.71715672994
2,8,Typical,Klapperschlange,1097.7993001972952,78.46114081889766,5.789780966915798,49383.64169969329
2,9,Atypical,Fledermaus,1055.399145019765,64.89004870414999,14.312118516392255,13519.319019624712
2,10,Typical,Goldfisch,1089.181790678297,56.649080690521146,19.0328273174953,29886.999999999945
2,11,Typical,Loewe,1077.4662143028002,26.93713569540995,2.1571029977523093,11485.35881187011
2,12,Typical,Hai,1161.236032485016,34.635150606922025,1.828685549372313,16933.462715649188
2,13,Typical,Kaninchen,1204.9779444865717,193.29369110060398,24.607987465625126,146548.4999999997
2,14,Typical,Lachs,1051.4147012375513,17.497558610961377,1.0672096623581917,7061.613475270941
2,15,Typical,Pferd,1140.5154378064206,65.98686442629179,7.835736269618103,43829.99999999987
2,16,Atypical,Wal,2327.8059082996715,1019.0490179154438,241.5763137192613,458158.00000000006
2,17,Typical,Chamaeleon,1145.3900739000405,144.97423731196278,22.279385462261434,81827.61761204225
2,18,Atypical,Seeloewe,2937.219041633189,109.67277810778495,54.033341762474066,106392.06442036123
2,19,Typical,Alligator,1122.0484234612334,91.84789348507871,17.533985459805162,46602.286933241194
3,1,Typical,Spatz,2174.9625427052138,617.8084027246687,148.79240335951218,484707.8977059602
3,2,Typical,Hund,1221.247649461276,44.64647885223867,6.685015575172662,27802.635440700757
3,3,Atypical,Wal,2839.8501129529527,605.7766165677009,103.36490440616494,125169.02243936405
3,4,Typical,Pferd,1064.9382574415301,72.38147272581,34.97636043385462,36334.402946637885
3,5,Atypical,Schmetterling,1102.4724934449514,45.53330495041513,6.5641425214967715,20281.804220496648
3,6,Atypical,Fledermaus,2078.1702519669634,798.6361206246135,230.46903721569754,494752.5
3,7,Typical,Alligator,2571.6926662038754,972.266022133284,257.02584365482585,414769.93275287503
3,8,Typical,Falke,2601.008935839773,878.1168710310951,251.4291310122889,401384.85473035986
3,9,Typical,Chamaeleon,2161.22397548408,792.4956616279004,136.4571275591162,456937.23144838406
3,10,Typical,Kaninchen,1157.1048891033047,141.3378964990389,18.53136434824387,91712.50000000015
3,11,Atypical,Pinguin,3118.3538283627618,686.6216713812793,94.42383681658977,223373.1329398469
3,12,Typical,Katze,2069.6977699554827,849.0209751277987,188.27661568172013,499195.5
3,13,Typical,Loewe,1079.5016408990123,58.06054400661438,9.157211490162009,30900.93623260293
3,14,Atypical,Seeloewe,5241.833446452683,972.4463273256046,231.58830353929378,388665.9067393573
3,16,Atypical,Aal,1121.0567524845485,126.14300210724474,33.482917875608024,72342.32850989673
3,17,Typical,Lachs,1171.8183377919781,47.03482936226328,10.24028651763437,31908.890469525097
3,18,Typical,Klapperschlange,1524.1274822675084,419.16996695543776,43.50460605286636,233116.79802439053
3,19,Typical,Goldfisch,1127.972919888428,72.69895985606429,16.46572840255231,55383.49999999994
4,1,Typical,Katze,1150.2300236428384,131.56079197246922,47.458201773977244,96718.99999999984
