DIVISION,home_pe,gone_pe,nite_pe,se_home,se_nite,se_gone
1,68.180107712,64.610188668,65.671957991,0.4450931656,0.4029086239,0.3030326462
2,69.207601693,66.488012879,67.303423368,0.1964075009,0.2409210678,0.2374660571
3,69.703463439,66.83602671,67.932677267,0.1764335418,0.1901703789,0.1473093842
4,69.634451694,67.178921389,68.067974799,0.2093935212,0.2462958871,0.2926110532
5,70.64660764,68.546976157,69.198682168,0.1480209305,0.2163409951,0.1979342095
6,70.628398567,68.139873847,69.307722775,0.2250353582,0.2798190787,0.3524551774
7,71.294284328,68.267258422,69.861102407,0.2076502407,0.1822018065,0.4308546602
8,69.249815901,65.930505464,66.807758946,0.3339041461,0.5517447459,0.2915097891
9,70.828766849,67.41744208,68.881581403,0.4783201819,1.0884495774,0.831375042
10,69.759334406,65.340390845,66.543762971,0.2215226628,0.2558000337,0.1799544433
